"source","location","report","reportDate","dateInterval","entryDate","exitDate","curator","numberTests","isCumulative","numberPositive","numberSuspectedAndConfirmed","numberSuspected"
"https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases","united kingdom","gov-uk-covid-17-02-20.pdf","2020-03-16","NA","2020-03-17","NA","aez","44105","TRUE","1543","NA","NA"
"http://www.salute.gov.it/imgs/C_17_pagineAree_5351_8_file.pdf","italy","gov-italy-17-03-20.pdf","2020-03-17","NA","2020-03-17","NA","aez","86011","TRUE","12839","15113","NA"
"https://ddc.moph.go.th/viralpneumonia/eng/index.php","thailand","thailand-gov-17-03-20.png","2020-03-17","NA","2020-03-17","NA","aez","4870","TRUE","177","7084","NA"
"https://www.gov.ie/en/press-release/a4016f-statement-from-the-national-public-health-emergency-team-tuesday-10-/","ireland","gov-ie-17-03-20.pdf","2020-10-03","NA","2020-03-17","NA","aez","1784","TRUE","34","1784","NA"
"https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#history","united kingdom","gov-uk-covid-18-03-20.pdf","2020-03-17","NA","2020-03-18","NA","aez","50442","TRUE","1950","NA","NA"
"https://docs.google.com/spreadsheets/u/2/d/e/2PACX-1vRwAqp96T9sYYq2-i7Tj0pvTf6XVHjDSMIKBdZHXiCGGdNC0ypEU9NbngS8mxea55JuCFuua1MUeOj5/pubhtml#",NA,NA,"Updated daily at 4 pm EST","NA","2020-03-19","NA","sy","82,571","TRUE","8,131","NA","NA"
"https://sacoronavirus.co.za/","south africa","gov-South Africa_2020-03-19_1584646184.204426.html","2020-03-19","NA","2020-03-19","NA","jj","4832","TRUE","150","NA","NA"
"https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx","colombia","gov-Colombia_2020-03-19_1584646753.982249.html","2020-03-19","NA","2020-03-19","NA","jj","3623","TRUE","108","NA","NA"
"https://www.ontario.ca/page/2019-novel-coronavirus","ontario","gov-ontario-2020-3-20.pdf","2020-03-20","NA","2020-03-20","NA","jj","19511","TRUE","301","NA","5485"
"https://icmr.nic.in/node/39071","india","gov-india-2020-3-20.pdf","2020-03-20","NA","2020-03-20","NA","jj","14514","TRUE","236","NA","NA"
"http://www.moh.gov.my/index.php/pages/view/2019-ncov-wuhan","malaysia","gov-Malaysia_2020-03-20_1584728235.963879","2020-03-20","NA","2020-03-20","NA","jj","13876","TRUE","1030","NA","3733"
"https://www.doh.gov.ph/2019-nCoV","philippines","gov-Philippines_2020-03-20_1584726469.459667","2020-03-20","NA","2020-03-20","NA","jj","1267","TRUE","230","NA","381"
"https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx/","colombia","gov-Colombia_2020_03_20","2020-03-20","NA","2020-03-20","NA","jj","3985","TRUE","145","NA","NA"
"https://sacoronavirus.co.za/","south africa","gov-South Africa_2020-03-20_1584726192.112329","2020-03-20","NA","2020-03-20","NA","jj","6438","TRUE","202","NA","NA"
"https://arkartassituacija.gov.lv/","latvia","gov-Latvia_2020-03-20_1584729297.264501","2020-03-20","1","2020-03-20","NA","jj","528","TRUE","111","NA","NA"
"https://onemocneni-aktualne.mzcr.cz/covid-19","czech republic","gov-Czech Republic_2020-03-20_1584726194.944158","2020-03-20","NA","2020-03-20","NA","jj","11619","TRUE","833","NA","NA"
"https://www.santepubliquefrance.fr/recherche/#search=COVID%2019%20%20%20point%20epidemiologique&sort=date","france","gov-france-2020-03-21","2020-03-15","23","2020-03-21","NA","jj","36747","TRUE","6153","NA","NA"
"https://infeksiemerging.kemkes.go.id/","indonesia","gov-Indonesia_2020-03-21_1584825699.5133","2020-03-21","NA","2020-03-21","NA","jj","2365","TRUE","450","NA","NA"
"https://www.korona.gov.sk/","slovakia","gov-Slovakia-2020-03-21-1584826044.720231","2020-03-21","NA","2020-03-21","NA","jj","3247","TRUE","178","NA","NA"
"http://ncov.mohw.go.kr/en/","korea","gov-Korea-2020-03-21-1584826232.021033","2020-03-21","NA","2020-03-21","NA","jj","327,509","TRUE","8799","NA","15,704"
"https://www.terviseamet.ee/et/koroonaviirus/koroonakaart","estonia","gov-Estonia-2020-03-21-1584830206.456832","2020-03-21","NA","2020-03-21","NA","oj","2812","TRUE","306","NA","NA"
"https://www.fhi.no/en/id/infectious-diseases/coronavirus/daily-reports/daily-reports-COVID19/","norway","gov-norway-21-03-2020.pdf","2020-03-21","NA","2020-03-21","NA","oj","49451","TRUE","1926","NA","NA"
"https://covid19.min-saude.pt/relatorio-de-situacao/","portugal","gov-portugal-21-03-2020.pdf","2020-03-21","NA","2020-03-21","NA","oj","9854","TRUE","1280","NA","NA"
"https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers","australia","gov-Australia-2020-03-22-1584869727.540165","2020-03-22","NA","2020-03-22","NA","oj","127000","TRUE","1098","NA","NA"
"https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers","australia","gov-Australia-2020-03-24-1585045518.850765","2020-03-24","NA","2020-03-24","NA","oj","160000","TRUE","2136","NA","NA"
"https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers","australia","gov-Australia-2020-03-25-1585162925.035024","2020-03-25","NA","2020-03-25","NA","oj","169000","TRUE","2423","NA","NA"
"https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers","australia","gov-Australia-2020-03-26-1585263480.564241","2026-03-20","NA","2020-03-26","NA","oj","181000","TRUE","2985","NA","NA"
"https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers","australia","gov-Australia-2020-03-28-1585358232.9931","2026-03-28","NA","2020-03-28","NA","oj","196000","TRUE","3378","NA","NA"
"https://thl.fi/en/web/infectious-diseases/what-s-new/coronavirus-covid-19-latest-updates","finland","gov-finland-22-03-2020.pdf","2020-03-20","NA","2020-03-22","NA","oj","6500","TRUE","450","NA","NA"
"https://eody.gov.gr/wp-content/uploads/2020/03/covid-gr-daily-report-20200322.pdf","greece","gov-greece-22-03-2020.pdf","2020-03-22","NA","2020-03-23","NA","oj","8006","TRUE","557","NA",NA
"http://www.sante.gouv.sn/Actualites","senegal","gov-senegal-2020-03-22.pdf","2020-03-22","1","2020-03-23","NA","jj","85","FALSE","11","NA","NA"
"https://rbc.gov.rw/index.php?id=709","rwanda","gov-rwanda-2020-03-23.pdf","2020-03-06","8","2020-03-23","NA","jj","600","TRUE","0","NA","NA"
"http://www.mohcc.gov.zw/index.php/2013-01-30-08-05-11/index.php?option=com_phocadownload&view=category&id=14:press-statements&Itemid=740","zimbabwe","gov-zimbabwe-2020-03-23.pdf","2020-03-15","NA","2020-03-23","NA","jj","14","TRUE","0","NA","NA"
"https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/aktuellt-epidemiologiskt-lage/","sweden","gov-Sweden-2020-03-25-1585131316.600923","2020-03-23","NA","2020-03-23","NA","oj","14 300","TRUE","2016","NA","NA"
"https://www.fhi.no/en/id/infectious-diseases/coronavirus/daily-reports/daily-reports-COVID19/","norway","gov-norway-24-03-20-dagsrapport-covid-19.pdf","2020-03-24","NA","2020-03-24","NA","aez","70608","TRUE","2566","NA","NA"
"https://sacoronavirus.co.za/","south africa","gov-South Africa-2020-03-24-1585074006","2020-03-24","NA","2020-03-24","NA","jj","15529","TRUE","554","NA","NA"
"https://arkartassituacija.gov.lv/","latvia","gov-Latvia-2020-03-24-1585074007","2020-03-24","NA","2020-03-24","NA","jj","6806","TRUE","197","NA","NA"
